meter_id,timestamp,energy_kwh,voltage,current,power_factor,temperature,status,is_attack,attack_type
M001,2026-02-28 06:00:00,0.2859,231.76,5.124,0.963,30.8,normal,False,
M001,2026-02-28 06:15:00,0.2607,234.8,4.598,0.966,28.9,normal,False,
M001,2026-02-28 06:30:00,0.1636,229.1,3.153,0.906,27.8,normal,False,
M001,2026-02-28 06:45:00,0.2636,220.71,5.435,0.879,29.2,normal,False,
M001,2026-02-28 07:00:00,0.33,231.59,6.39,0.892,28.2,normal,False,
M001,2026-02-28 07:15:00,0.4297,226.7,7.768,0.976,31.3,normal,False,
M001,2026-02-28 07:30:00,0.5406,229.94,10.578,0.889,25.2,normal,False,
M001,2026-02-28 07:45:00,0.3712,230.36,7.044,0.915,27.6,normal,False,
M001,2026-02-28 08:00:00,0.3129,231.67,6.132,0.881,28.0,normal,False,
M001,2026-02-28 08:15:00,0.3362,231.19,6.603,0.881,28.5,normal,False,
M001,2026-02-28 08:30:00,0.468,227.29,8.716,0.945,30.0,normal,False,
M001,2026-02-28 08:45:00,0.3919,234.92,7.253,0.92,31.3,normal,False,
M001,2026-02-28 09:00:00,0.3226,228.27,6.468,0.874,30.3,normal,False,
M001,2026-02-28 09:15:00,0.3102,235.97,6.172,0.852,30.2,normal,False,
M001,2026-02-28 09:30:00,0.428,232.27,8.443,0.873,26.1,normal,False,
M001,2026-02-28 09:45:00,0.4727,232.17,9.383,0.868,28.2,normal,False,
M001,2026-02-28 10:00:00,0.1682,228.75,3.142,0.936,29.6,normal,False,
M001,2026-02-28 10:15:00,0.2634,234.77,5.094,0.881,33.6,normal,False,
M001,2026-02-28 10:30:00,0.1186,224.96,2.356,0.895,30.9,normal,False,
M001,2026-02-28 10:45:00,0.2452,232.16,4.907,0.861,30.9,normal,False,
M001,2026-02-28 11:00:00,0.1323,230.79,2.694,0.851,30.2,normal,False,
M001,2026-02-28 11:15:00,0.1203,230.61,2.22,0.94,26.1,normal,False,
M001,2026-02-28 11:30:00,0.2304,232.57,4.498,0.881,26.6,normal,False,
M001,2026-02-28 11:45:00,0.1651,232.69,2.956,0.96,31.0,normal,False,
M001,2026-02-28 12:00:00,0.2315,226.96,4.543,0.898,28.8,normal,False,
M001,2026-02-28 12:15:00,0.153,233.08,2.817,0.932,28.0,normal,False,
M001,2026-02-28 12:30:00,0.259,239.57,4.731,0.914,28.7,normal,False,
M001,2026-02-28 12:45:00,0.139,226.63,2.876,0.853,30.5,normal,False,
M001,2026-02-28 13:00:00,0.2291,229.57,4.09,0.976,30.0,normal,False,
M001,2026-02-28 13:15:00,0.2927,228.42,5.695,0.9,30.1,normal,False,
M001,2026-02-28 13:30:00,0.2702,226.76,5.169,0.922,27.5,normal,False,
M001,2026-02-28 13:45:00,0.2872,232.21,5.733,0.863,32.0,normal,False,
M001,2026-02-28 14:00:00,0.223,233.7,4.035,0.946,28.6,normal,False,
M001,2026-02-28 14:15:00,0.2394,226.64,4.758,0.888,31.3,normal,False,
M001,2026-02-28 14:30:00,0.2619,231.07,4.679,0.969,29.0,normal,False,
M001,2026-02-28 14:45:00,0.2023,235.03,3.686,0.934,28.5,normal,False,
M001,2026-02-28 15:00:00,0.2404,230.81,4.66,0.894,28.9,normal,False,
M001,2026-02-28 15:15:00,0.1751,230.58,3.553,0.855,26.8,normal,False,
M001,2026-02-28 15:30:00,0.1931,223.74,3.724,0.927,29.2,normal,False,
M001,2026-02-28 15:45:00,0.1061,226.87,2.038,0.918,27.8,normal,False,
M001,2026-02-28 16:00:00,0.254,231.92,5.088,0.861,26.0,normal,False,
M001,2026-02-28 16:15:00,0.1103,238.36,1.984,0.933,32.2,normal,False,
M001,2026-02-28 16:30:00,0.2452,230.05,4.78,0.892,29.4,normal,False,
M001,2026-02-28 16:45:00,0.259,228.44,5.273,0.86,25.2,normal,False,
M001,2026-02-28 17:00:00,0.1051,227.3,2.119,0.873,31.8,normal,False,
M001,2026-02-28 17:15:00,0.1313,231.11,2.41,0.943,25.3,normal,False,
M001,2026-02-28 17:30:00,0.232,231.32,4.314,0.93,31.8,normal,False,
M001,2026-02-28 17:45:00,0.1839,227.44,3.408,0.949,25.9,normal,False,
M001,2026-02-28 18:00:00,0.3036,229.17,6.14,0.863,32.2,normal,False,
M001,2026-02-28 18:15:00,0.4229,225.47,8.281,0.906,28.3,normal,False,
M001,2026-02-28 18:30:00,0.3996,235.4,7.932,0.856,31.1,normal,False,
M001,2026-02-28 18:45:00,0.3937,230.2,7.119,0.961,33.2,normal,False,
M001,2026-02-28 19:00:00,0.4647,229.29,8.755,0.926,28.6,normal,False,
M001,2026-02-28 19:15:00,0.5351,223.36,10.26,0.934,31.1,normal,False,
M001,2026-02-28 19:30:00,0.4146,232.4,7.929,0.9,28.6,normal,False,
M001,2026-02-28 19:45:00,0.5403,228.3,10.625,0.891,28.9,normal,False,
M001,2026-02-28 20:00:00,0.5112,227.82,9.538,0.941,27.8,normal,False,
M001,2026-02-28 20:15:00,0.4572,231.27,8.289,0.954,29.7,normal,False,
M001,2026-02-28 20:30:00,0.3705,231.93,6.691,0.955,27.1,normal,False,
M001,2026-02-28 20:45:00,0.5476,223.74,10.294,0.951,26.1,normal,False,
M001,2026-02-28 21:00:00,0.3852,235.44,6.903,0.948,27.6,normal,False,
M001,2026-02-28 21:15:00,0.3258,230.04,5.92,0.957,30.4,normal,False,
M001,2026-02-28 21:30:00,0.38,229.16,7.794,0.851,30.2,normal,False,
M001,2026-02-28 21:45:00,0.5263,229.05,9.436,0.974,27.3,normal,False,
M001,2026-02-28 22:00:00,0.2901,236.69,5.399,0.908,30.6,normal,False,
M001,2026-02-28 22:15:00,0.1586,234.22,2.857,0.948,26.1,normal,False,
M001,2026-02-28 22:30:00,0.2583,227.55,4.93,0.921,28.5,normal,False,
M001,2026-02-28 22:45:00,0.1883,228.92,3.804,0.865,30.1,normal,False,
M001,2026-02-28 23:00:00,0.1286,232.15,2.568,0.863,31.2,normal,False,
M001,2026-02-28 23:15:00,0.1168,228.48,2.137,0.957,28.9,normal,False,
M001,2026-02-28 23:30:00,0.2412,234.04,4.237,0.973,27.5,normal,False,
M001,2026-02-28 23:45:00,0.2972,227.68,6.064,0.861,31.2,normal,False,
M001,2026-03-01 00:00:00,0.0977,222.87,1.811,0.968,31.6,normal,False,
M001,2026-03-01 00:15:00,0.0311,228.94,0.596,0.911,28.5,normal,False,
M001,2026-03-01 00:30:00,0.0256,234.45,0.472,0.926,30.0,normal,False,
M001,2026-03-01 00:45:00,0.1162,224.94,2.146,0.963,26.8,normal,False,
M001,2026-03-01 01:00:00,0.0424,230.24,0.752,0.979,30.5,normal,False,
M001,2026-03-01 01:15:00,0.0274,231.66,0.515,0.918,28.6,normal,False,
M001,2026-03-01 01:30:00,0.0829,228.49,1.557,0.932,32.2,normal,False,
M001,2026-03-01 01:45:00,0.0784,229.61,1.467,0.931,30.5,normal,False,
M001,2026-03-01 02:00:00,0.0477,229.45,0.928,0.896,25.8,normal,False,
M001,2026-03-01 02:15:00,0.0784,223.31,1.469,0.956,29.2,normal,False,
M001,2026-03-01 02:30:00,0.0885,232.6,1.684,0.904,31.5,normal,False,
M001,2026-03-01 02:45:00,0.1133,229.74,2.066,0.955,27.9,normal,False,
M001,2026-03-01 03:00:00,0.1187,231.03,2.283,0.9,26.3,normal,False,
M001,2026-03-01 03:15:00,0.117,230.96,2.224,0.911,29.1,normal,False,
M001,2026-03-01 03:30:00,0.0615,229.62,1.114,0.962,28.4,normal,False,
M001,2026-03-01 03:45:00,0.1013,235.31,1.77,0.973,29.1,normal,False,
M001,2026-03-01 04:00:00,0.105,228.9,2.116,0.867,25.3,normal,False,
M001,2026-03-01 04:15:00,0.1154,225.21,2.187,0.937,29.6,normal,False,
M001,2026-03-01 04:30:00,0.0818,227.1,1.538,0.937,27.9,normal,False,
M001,2026-03-01 04:45:00,0.072,230.4,1.301,0.961,31.6,normal,False,
M001,2026-03-01 05:00:00,0.0752,233.59,1.428,0.902,28.8,normal,False,
M001,2026-03-01 05:15:00,0.0334,235.21,0.647,0.878,30.3,normal,False,
M001,2026-03-01 05:30:00,0.0336,223.94,0.662,0.907,31.4,normal,False,
M001,2026-03-01 05:45:00,0.1104,230.7,2.011,0.952,24.2,normal,False,
M001,2026-03-01 06:00:00,0.1793,233.44,3.158,0.973,29.2,normal,False,
M001,2026-03-01 06:15:00,0.1294,229.95,2.546,0.884,30.1,normal,False,
M001,2026-03-01 06:30:00,0.1918,229.98,3.736,0.893,29.3,normal,False,
M001,2026-03-01 06:45:00,0.2267,229.57,4.556,0.867,28.3,normal,False,
M001,2026-03-01 07:00:00,0.332,226.15,6.561,0.895,29.5,normal,False,
M001,2026-03-01 07:15:00,0.5242,237.19,10.138,0.872,27.9,normal,False,
M001,2026-03-01 07:30:00,0.3481,227.15,7.111,0.862,27.4,normal,False,
M001,2026-03-01 07:45:00,0.3302,224.98,6.545,0.897,28.1,normal,False,
M001,2026-03-01 08:00:00,0.4259,229.64,7.776,0.954,28.6,normal,False,
M001,2026-03-01 08:15:00,0.457,232.98,8.285,0.947,27.3,normal,False,
M001,2026-03-01 08:30:00,0.3461,228.08,6.648,0.913,26.0,normal,False,
M001,2026-03-01 08:45:00,0.4546,227.81,8.429,0.947,24.1,normal,False,
M001,2026-03-01 09:00:00,0.3092,232.98,5.495,0.966,26.5,normal,False,
M001,2026-03-01 09:15:00,0.4279,226.6,8.319,0.908,28.7,normal,False,
M001,2026-03-01 09:30:00,0.4332,227.16,8.485,0.899,26.7,normal,False,
M001,2026-03-01 09:45:00,0.305,226.29,6.037,0.893,27.2,normal,False,
M001,2026-03-01 10:00:00,0.124,230.76,2.291,0.938,30.3,normal,False,
M001,2026-03-01 10:15:00,0.2578,226.94,4.939,0.92,28.5,normal,False,
M001,2026-03-01 10:30:00,0.2174,228.46,4.39,0.867,31.7,normal,False,
M001,2026-03-01 10:45:00,0.1568,234.89,2.89,0.924,25.9,normal,False,
M001,2026-03-01 11:00:00,0.1712,230.1,3.378,0.881,28.8,normal,False,
M001,2026-03-01 11:15:00,0.1204,228.4,2.421,0.871,27.2,normal,False,
M001,2026-03-01 11:30:00,0.1373,227.1,2.501,0.967,27.4,normal,False,
M001,2026-03-01 11:45:00,0.116,221.24,2.144,0.978,29.9,normal,False,
M001,2026-03-01 12:00:00,0.1224,231.37,2.197,0.963,28.3,normal,False,
M001,2026-03-01 12:15:00,0.2634,227.47,4.943,0.937,27.4,normal,False,
M001,2026-03-01 12:30:00,0.2859,237.15,5.443,0.886,31.7,normal,False,
M001,2026-03-01 12:45:00,0.2539,228.02,4.922,0.905,26.5,normal,False,
M001,2026-03-01 13:00:00,0.2015,228.39,3.799,0.929,27.9,normal,False,
M001,2026-03-01 13:15:00,0.1577,226.01,3.057,0.913,29.0,normal,False,
M001,2026-03-01 13:30:00,0.2065,229.48,4.152,0.867,27.7,normal,False,
M001,2026-03-01 13:45:00,0.1127,227.89,2.107,0.939,30.0,normal,False,
M001,2026-03-01 14:00:00,0.252,227.47,4.902,0.904,33.4,normal,False,
M001,2026-03-01 14:15:00,0.1698,230.59,3.37,0.874,28.7,normal,False,
M001,2026-03-01 14:30:00,0.1133,231.71,2.04,0.959,31.7,normal,False,
M001,2026-03-01 14:45:00,0.128,227.92,2.579,0.871,29.7,normal,False,
M001,2026-03-01 15:00:00,0.1329,231.9,2.497,0.918,30.6,normal,False,
M001,2026-03-01 15:15:00,0.1718,229.05,3.138,0.956,30.4,normal,False,
M001,2026-03-01 15:30:00,0.1878,227.63,3.712,0.889,24.0,normal,False,
M001,2026-03-01 15:45:00,0.2495,224.47,4.598,0.967,28.5,normal,False,
M001,2026-03-01 16:00:00,0.1768,233.12,3.258,0.931,28.7,normal,False,
M001,2026-03-01 16:15:00,0.1234,230.58,2.395,0.894,29.6,normal,False,
M001,2026-03-01 16:30:00,0.1279,231.78,2.402,0.919,31.0,normal,False,
M001,2026-03-01 16:45:00,0.2788,228.29,5.483,0.891,29.3,normal,False,
M001,2026-03-01 17:00:00,0.1497,235.28,2.64,0.964,29.3,normal,False,
M001,2026-03-01 17:15:00,0.1684,234.5,3.306,0.869,27.6,normal,False,
M001,2026-03-01 17:30:00,0.1459,233.37,2.68,0.933,30.4,normal,False,
M001,2026-03-01 17:45:00,0.2388,224.29,4.758,0.895,29.1,normal,False,
M001,2026-03-01 18:00:00,0.3454,230.6,6.642,0.902,30.2,normal,False,
M001,2026-03-01 18:15:00,0.4155,230.63,7.757,0.929,33.8,normal,False,
M001,2026-03-01 18:30:00,0.3045,236.24,5.315,0.97,29.7,normal,False,
M001,2026-03-01 18:45:00,0.4768,230.88,8.892,0.929,26.2,normal,False,
M001,2026-03-01 19:00:00,0.406,230.64,7.259,0.97,28.7,normal,False,
M001,2026-03-01 19:15:00,0.4127,238.89,7.661,0.902,29.5,normal,False,
M001,2026-03-01 19:30:00,0.3137,233.75,6.308,0.851,27.3,normal,False,
M001,2026-03-01 19:45:00,0.3834,232.98,6.786,0.97,23.9,normal,False,
M001,2026-03-01 20:00:00,0.3866,234.45,7.256,0.909,26.9,normal,False,
M001,2026-03-01 20:15:00,0.3562,226.06,7.22,0.873,28.2,normal,False,
M001,2026-03-01 20:30:00,0.4246,232.82,8.133,0.897,28.2,normal,False,
M001,2026-03-01 20:45:00,0.4451,226.44,8.064,0.975,29.5,normal,False,
M001,2026-03-01 21:00:00,0.3372,227.2,6.058,0.98,28.2,normal,False,
M001,2026-03-01 21:15:00,0.4255,227.63,7.896,0.947,28.8,normal,False,
M001,2026-03-01 21:30:00,0.3525,229.6,7.018,0.875,28.8,normal,False,
M001,2026-03-01 21:45:00,0.3091,238.99,6.023,0.859,26.3,normal,False,
M001,2026-03-01 22:00:00,0.2551,234.86,4.79,0.907,23.2,normal,False,
M001,2026-03-01 22:15:00,0.1802,225.88,3.651,0.874,28.9,normal,False,
M001,2026-03-01 22:30:00,0.2724,229.48,5.365,0.885,29.6,normal,False,
M001,2026-03-01 22:45:00,0.2288,228.73,4.599,0.87,28.4,normal,False,
M001,2026-03-01 23:00:00,0.2432,229.69,4.818,0.879,28.6,normal,False,
M001,2026-03-01 23:15:00,0.1462,230.35,2.908,0.873,28.2,normal,False,
M001,2026-03-01 23:30:00,0.2305,228.77,4.569,0.882,28.0,normal,False,
M001,2026-03-01 23:45:00,0.2445,230.82,4.697,0.902,29.0,normal,False,
M001,2026-03-02 00:00:00,0.0868,227.7,1.577,0.967,26.6,normal,False,
M001,2026-03-02 00:15:00,0.0213,224.16,0.393,0.966,32.0,normal,False,
M001,2026-03-02 00:30:00,0.1017,225.65,2.005,0.899,26.9,normal,False,
M001,2026-03-02 00:45:00,0.079,232.65,1.504,0.903,25.7,normal,False,
M001,2026-03-02 01:00:00,0.0752,223.86,1.381,0.973,27.4,normal,False,
M001,2026-03-02 01:15:00,0.0964,233.4,1.732,0.954,28.4,normal,False,
M001,2026-03-02 01:30:00,0.0625,237.54,1.191,0.884,29.8,normal,False,
M001,2026-03-02 01:45:00,0.0339,225.49,0.679,0.885,28.7,normal,False,
M001,2026-03-02 02:00:00,0.0218,224.3,0.422,0.922,29.6,normal,False,
M001,2026-03-02 02:15:00,0.0851,228.36,1.752,0.851,29.6,normal,False,
M001,2026-03-02 02:30:00,0.0337,235.67,0.611,0.936,31.6,normal,False,
M001,2026-03-02 02:45:00,0.0375,229.45,0.726,0.9,30.1,normal,False,
M001,2026-03-02 03:00:00,0.0719,228.78,1.355,0.928,28.9,normal,False,
M001,2026-03-02 03:15:00,0.0445,224.67,0.884,0.896,26.9,normal,False,
M001,2026-03-02 03:30:00,0.0919,232.01,1.737,0.912,25.0,normal,False,
M001,2026-03-02 03:45:00,0.0864,230.33,1.709,0.878,28.9,normal,False,
M001,2026-03-02 04:00:00,0.0231,232.13,0.464,0.857,25.5,normal,False,
M001,2026-03-02 04:15:00,0.0696,224.09,1.308,0.95,30.5,normal,False,
M001,2026-03-02 04:30:00,0.0307,230.63,0.583,0.914,27.8,normal,False,
M001,2026-03-02 04:45:00,0.0888,224.55,1.655,0.956,27.7,normal,False,
M001,2026-03-02 05:00:00,0.0999,226.19,1.906,0.927,30.4,normal,False,
M001,2026-03-02 05:15:00,0.0561,225.38,1.082,0.92,28.0,normal,False,
M001,2026-03-02 05:30:00,0.1073,232.86,1.969,0.936,29.7,normal,False,
M001,2026-03-02 05:45:00,0.0892,228.41,1.709,0.914,29.8,normal,False,
M001,2026-03-02 06:00:00,0.1442,232.86,2.9,0.854,28.8,normal,False,
M001,2026-03-02 06:15:00,0.2395,231.56,4.239,0.976,28.1,normal,False,
M001,2026-03-02 06:30:00,0.2889,233.95,5.145,0.96,28.3,normal,False,
M001,2026-03-02 06:45:00,0.1638,225.08,3.361,0.866,29.5,normal,False,
M001,2026-03-02 07:00:00,0.3192,226.35,5.975,0.944,31.1,normal,False,
M001,2026-03-02 07:15:00,0.3163,231.44,5.736,0.953,24.6,normal,False,
M001,2026-03-02 07:30:00,0.3797,233.04,7.008,0.93,29.1,normal,False,
M001,2026-03-02 07:45:00,0.3582,232.5,6.46,0.954,28.6,normal,False,
M001,2026-03-02 08:00:00,0.5495,234.28,10.401,0.902,27.1,normal,False,
M001,2026-03-02 08:15:00,0.42,233.22,7.366,0.978,29.1,normal,False,
M001,2026-03-02 08:30:00,0.4921,224.11,9.285,0.946,25.0,normal,False,
M001,2026-03-02 08:45:00,0.3597,228.95,7.085,0.887,26.9,normal,False,
M001,2026-03-02 09:00:00,0.3741,223.23,7.146,0.938,26.1,normal,False,
M001,2026-03-02 09:15:00,0.3546,229.42,6.413,0.964,26.8,normal,False,
M001,2026-03-02 09:30:00,0.5362,238.08,10.331,0.872,27.2,normal,False,
M001,2026-03-02 09:45:00,0.5478,234.08,10.208,0.917,31.7,normal,False,
M001,2026-03-02 10:00:00,0.1461,228.19,2.93,0.874,27.3,normal,False,
M001,2026-03-02 10:15:00,0.2559,228.26,4.595,0.976,28.2,normal,False,
M001,2026-03-02 10:30:00,0.2768,228.69,5.102,0.949,26.2,normal,False,
M001,2026-03-02 10:45:00,0.2392,231.2,4.708,0.879,27.7,normal,False,
M001,2026-03-02 11:00:00,0.1448,238.25,2.628,0.925,30.4,normal,False,
M001,2026-03-02 11:15:00,0.1183,228.73,2.386,0.867,29.7,normal,False,
M001,2026-03-02 11:30:00,0.2777,231.9,5.195,0.922,30.7,normal,False,
M001,2026-03-02 11:45:00,0.1174,223.88,2.373,0.884,26.0,normal,False,
M001,2026-03-02 12:00:00,0.2447,227.06,4.904,0.879,28.5,normal,False,
M001,2026-03-02 12:15:00,0.2367,217.82,4.689,0.927,26.8,normal,False,
M001,2026-03-02 12:30:00,0.2649,234.63,4.887,0.924,26.2,normal,False,
M001,2026-03-02 12:45:00,0.1534,230.84,2.84,0.936,29.1,normal,False,
M001,2026-03-02 13:00:00,0.2701,231.42,4.868,0.959,29.9,normal,False,
M001,2026-03-02 13:15:00,0.2395,233.53,4.327,0.948,31.6,normal,False,
M001,2026-03-02 13:30:00,0.1317,228.7,2.432,0.947,26.8,normal,False,
M001,2026-03-02 13:45:00,0.1322,231.46,2.494,0.916,29.3,normal,False,
M001,2026-03-02 14:00:00,0.1013,232.86,1.779,0.978,25.5,normal,False,
M001,2026-03-02 14:15:00,0.2264,232.64,4.231,0.92,25.8,normal,False,
M001,2026-03-02 14:30:00,0.256,230.93,4.82,0.92,27.7,normal,False,
M001,2026-03-02 14:45:00,0.2926,234.23,5.146,0.971,25.6,normal,False,
M001,2026-03-02 15:00:00,0.1205,230.61,2.433,0.859,29.3,normal,False,
M001,2026-03-02 15:15:00,0.1602,228.73,3.025,0.926,28.8,normal,False,
M001,2026-03-02 15:30:00,0.1692,228.32,3.078,0.963,28.8,normal,False,
M001,2026-03-02 15:45:00,0.2947,231.28,5.975,0.853,27.4,normal,False,
M001,2026-03-02 16:00:00,0.1044,229.54,1.915,0.95,24.4,normal,False,
M001,2026-03-02 16:15:00,0.2367,224.05,4.312,0.98,27.7,normal,False,
M001,2026-03-02 16:30:00,0.1852,225.7,3.444,0.953,28.1,normal,False,
M001,2026-03-02 16:45:00,0.2387,233.93,4.607,0.886,31.1,normal,False,
M001,2026-03-02 17:00:00,0.2902,229.22,5.205,0.973,26.2,normal,False,
M001,2026-03-02 17:15:00,0.1839,225.7,3.679,0.886,31.8,normal,False,
M001,2026-03-02 17:30:00,0.2968,233.14,5.787,0.88,28.1,normal,False,
M001,2026-03-02 17:45:00,0.1426,230.26,2.759,0.898,28.0,normal,False,
M001,2026-03-02 18:00:00,0.5161,231.77,10.191,0.874,28.4,normal,False,
M001,2026-03-02 18:15:00,0.5172,232.48,9.27,0.96,29.9,normal,False,
M001,2026-03-02 18:30:00,0.4903,226.69,10.131,0.854,29.1,normal,False,
M001,2026-03-02 18:45:00,0.5302,234.37,9.911,0.913,29.5,normal,False,
M001,2026-03-02 19:00:00,0.3293,231.31,6.285,0.906,27.0,normal,False,
M001,2026-03-02 19:15:00,0.3501,227.41,6.65,0.926,28.5,normal,False,
M001,2026-03-02 19:30:00,0.3672,227.78,7.094,0.909,30.5,normal,False,
M001,2026-03-02 19:45:00,0.3029,229.39,5.791,0.912,27.1,normal,False,
M001,2026-03-02 20:00:00,0.45,233.58,8.011,0.962,26.3,normal,False,
M001,2026-03-02 20:15:00,0.495,229.92,9.967,0.864,27.4,normal,False,
M001,2026-03-02 20:30:00,0.3605,238.41,6.428,0.941,28.5,normal,False,
M001,2026-03-02 20:45:00,0.4399,226.93,8.654,0.896,28.6,normal,False,
M001,2026-03-02 21:00:00,0.3083,229.37,6.201,0.867,27.0,normal,False,
M001,2026-03-02 21:15:00,0.4419,233.46,8.643,0.876,29.7,normal,False,
M001,2026-03-02 21:30:00,0.3419,230.96,6.286,0.942,26.9,normal,False,
M001,2026-03-02 21:45:00,0.3079,236.34,5.411,0.963,29.2,normal,False,
M001,2026-03-02 22:00:00,0.2428,227.97,4.456,0.956,30.7,normal,False,
M001,2026-03-02 22:15:00,0.116,230.4,2.107,0.956,30.4,normal,False,
M001,2026-03-02 22:30:00,0.1905,231.4,3.485,0.945,32.9,normal,False,
M001,2026-03-02 22:45:00,0.1163,226.39,2.156,0.953,27.4,normal,False,
M001,2026-03-02 23:00:00,0.2317,240.38,4.089,0.943,28.3,normal,False,
M001,2026-03-02 23:15:00,0.1457,226.05,2.749,0.938,29.6,normal,False,
M001,2026-03-02 23:30:00,0.1144,233.82,2.071,0.945,28.3,normal,False,
M001,2026-03-02 23:45:00,0.2485,223.47,4.953,0.898,26.7,normal,False,
M001,2026-03-03 00:00:00,0.1188,224.53,2.242,0.944,32.5,normal,False,
M001,2026-03-03 00:15:00,0.0687,224.28,1.322,0.927,27.4,normal,False,
M001,2026-03-03 00:30:00,0.1112,231.87,2.058,0.932,26.0,normal,False,
M001,2026-03-03 00:45:00,0.0933,231.41,1.666,0.968,27.1,normal,False,
M001,2026-03-03 01:00:00,0.038,231.13,0.72,0.914,27.9,normal,False,
M001,2026-03-03 01:15:00,0.0447,229.45,0.85,0.917,30.6,normal,False,
M001,2026-03-03 01:30:00,0.0559,225.96,1.098,0.901,29.1,normal,False,
M001,2026-03-03 01:45:00,0.1169,232.83,2.251,0.892,26.0,normal,False,
M001,2026-03-03 02:00:00,0.0973,224.55,2.015,0.86,28.0,normal,False,
M001,2026-03-03 02:15:00,0.037,222.67,0.694,0.958,29.0,normal,False,
M001,2026-03-03 02:30:00,0.0631,232.27,1.154,0.942,25.7,normal,False,
M001,2026-03-03 02:45:00,0.0367,232.96,0.691,0.912,30.9,normal,False,
M001,2026-03-03 03:00:00,0.1044,231.27,1.875,0.963,31.1,normal,False,
M001,2026-03-03 03:15:00,0.0406,228.86,0.828,0.857,27.4,normal,False,
M001,2026-03-03 03:30:00,0.0731,229.54,1.312,0.971,26.4,normal,False,
M001,2026-03-03 03:45:00,0.0516,227.94,1.042,0.869,28.5,normal,False,
M001,2026-03-03 04:00:00,0.1187,230.49,2.139,0.963,29.4,normal,False,
M001,2026-03-03 04:15:00,0.0655,222.65,1.256,0.937,34.4,normal,False,
M001,2026-03-03 04:30:00,0.034,226.72,0.64,0.938,29.8,normal,False,
M001,2026-03-03 04:45:00,0.117,230.97,2.232,0.908,27.2,normal,False,
M001,2026-03-03 05:00:00,0.1068,231.92,1.921,0.959,26.7,normal,False,
M001,2026-03-03 05:15:00,0.1145,229.89,2.142,0.93,32.5,normal,False,
M001,2026-03-03 05:30:00,0.1069,228.43,1.928,0.971,28.6,normal,False,
M001,2026-03-03 05:45:00,0.089,226.23,1.681,0.936,29.8,normal,False,
M001,2026-03-03 06:00:00,0.1788,227.3,3.362,0.936,29.1,normal,False,
M001,2026-03-03 06:15:00,0.2999,233.52,5.396,0.952,28.0,normal,False,
M001,2026-03-03 06:30:00,0.2134,231.98,4.075,0.903,29.2,normal,False,
M001,2026-03-03 06:45:00,0.1654,233.66,2.984,0.949,29.6,normal,False,
M001,2026-03-03 07:00:00,0.4995,234.51,9.838,0.866,28.0,normal,False,
M001,2026-03-03 07:15:00,0.4361,225.53,8.228,0.94,25.2,normal,False,
M001,2026-03-03 07:30:00,0.3971,224.57,7.868,0.899,27.9,normal,False,
M001,2026-03-03 07:45:00,0.3568,230.59,6.605,0.937,27.1,normal,False,
M001,2026-03-03 08:00:00,0.4549,222.13,8.515,0.962,27.1,normal,False,
M001,2026-03-03 08:15:00,0.4298,228.41,8.419,0.894,28.5,normal,False,
M001,2026-03-03 08:30:00,0.395,235.06,7.314,0.919,24.9,normal,False,
M001,2026-03-03 08:45:00,0.452,232.38,8.251,0.943,29.7,normal,False,
