meter_id,timestamp,energy_kwh,reading_kwh,detected,risk_score,risk_level,rule_triggered,attack_type,ground_truth,detection_time
M001,2026-02-28 02:30:00,0.0512,0.0512,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 02:45:00,0.117,0.0585,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 02:45:00,0.117,0.117,1,60,HIGH,baseline_spike+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 03:00:00,0.0288,0.0288,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 03:00:00,0.0288,0.0144,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 03:15:00,0.1029,0.1029,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 03:15:00,0.1029,0.0515,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 03:30:00,0.0341,0.0341,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 03:30:00,0.0341,0.017,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 03:45:00,0.0971,0.0971,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 03:45:00,0.0971,0.0486,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 04:00:00,0.1063,0.1063,1,100,CRITICAL,energy_drop_gap+baseline_spike+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 04:00:00,0.1063,0.0532,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 04:15:00,0.0511,0.0255,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 04:15:00,0.0511,0.0511,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 04:30:00,0.1087,0.1087,1,60,HIGH,baseline_spike+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 04:30:00,0.1087,0.0544,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 04:45:00,0.0961,0.0961,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 04:45:00,0.0961,0.0481,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 05:00:00,0.0723,0.0723,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 05:00:00,0.0723,0.0362,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 05:15:00,0.0231,0.0231,1,50,HIGH,baseline_drop+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 05:15:00,0.0231,0.0115,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 05:30:00,0.1108,0.0554,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 05:30:00,0.1108,0.1108,1,60,HIGH,baseline_spike+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 05:45:00,0.0429,0.0429,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 05:45:00,0.0429,0.0215,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 06:00:00,0.2859,0.2859,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 06:00:00,0.2859,0.1429,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 06:15:00,0.2607,0.2607,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 06:15:00,0.2607,0.1303,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 06:30:00,0.1636,0.1636,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 06:30:00,0.1636,0.0818,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 06:45:00,0.2636,0.1318,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 06:45:00,0.2636,0.2636,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 07:00:00,0.33,0.33,1,50,HIGH,baseline_drop+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 07:00:00,0.33,0.165,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 07:15:00,0.4297,0.4297,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 07:15:00,0.4297,0.2149,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 07:30:00,0.5406,0.5406,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 07:30:00,0.5406,0.2703,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 07:45:00,0.3712,0.3712,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 07:45:00,0.3712,0.1856,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 08:00:00,0.3129,0.3129,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 08:00:00,0.3129,0.1565,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 08:15:00,0.3362,0.1681,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 08:15:00,0.3362,0.3362,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 08:30:00,0.468,0.468,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 08:30:00,0.468,0.234,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 08:45:00,0.3919,0.3919,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 08:45:00,0.3919,0.196,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 09:00:00,0.3226,0.3226,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 09:00:00,0.3226,0.1613,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 09:15:00,0.3102,0.3102,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 09:15:00,0.3102,0.1551,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 09:30:00,0.428,0.214,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 09:30:00,0.428,0.428,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 09:45:00,0.4727,0.4727,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 09:45:00,0.4727,0.2364,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 10:00:00,0.1682,0.1682,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 10:00:00,0.1682,0.0841,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 10:15:00,0.2634,0.2634,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 10:15:00,0.2634,0.1317,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 10:30:00,0.1186,0.1186,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 10:30:00,0.1186,0.0593,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 10:45:00,0.2452,0.1226,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 10:45:00,0.2452,0.2452,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 11:00:00,0.1323,0.0662,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 11:00:00,0.1323,0.1323,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 11:15:00,0.1203,0.1203,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 11:15:00,0.1203,0.0602,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 11:30:00,0.2304,0.2304,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 11:30:00,0.2304,0.1152,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 11:45:00,0.1651,0.1651,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 11:45:00,0.1651,0.0825,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 12:00:00,0.2315,0.2315,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 12:00:00,0.2315,0.1158,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 12:15:00,0.153,0.153,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 12:15:00,0.153,0.0765,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 12:30:00,0.259,0.1295,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 12:30:00,0.259,0.259,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 12:45:00,0.139,0.139,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 12:45:00,0.139,0.0695,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 13:00:00,0.2291,0.2291,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 13:00:00,0.2291,0.1145,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 13:15:00,0.2927,0.2927,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 13:15:00,0.2927,0.1464,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 13:30:00,0.2702,0.2702,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 13:30:00,0.2702,0.1351,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 13:45:00,0.2872,0.1436,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 13:45:00,0.2872,0.2872,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 14:00:00,0.223,0.223,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 14:00:00,0.223,0.1115,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 14:15:00,0.2394,0.2394,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 14:15:00,0.2394,0.1197,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 14:30:00,0.2619,0.2619,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 14:30:00,0.2619,0.131,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 14:45:00,0.2023,0.2023,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 14:45:00,0.2023,0.1012,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 15:00:00,0.2404,0.1202,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 15:00:00,0.2404,0.2404,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 15:15:00,0.1751,0.1751,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 15:15:00,0.1751,0.0876,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 15:30:00,0.1931,0.1931,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 15:30:00,0.1931,0.0965,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 15:45:00,0.1061,0.1061,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 15:45:00,0.1061,0.053,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 16:00:00,0.254,0.254,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 16:00:00,0.254,0.127,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 16:15:00,0.1103,0.1103,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 16:15:00,0.1103,0.0551,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 16:30:00,0.2452,0.1226,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 16:30:00,0.2452,0.2452,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 16:45:00,0.259,0.259,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 16:45:00,0.259,0.1295,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 17:00:00,0.1051,0.1051,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 17:00:00,0.1051,0.0525,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 17:15:00,0.1313,0.1313,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 17:15:00,0.1313,0.0657,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 17:30:00,0.232,0.232,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 17:30:00,0.232,0.116,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 17:45:00,0.1839,0.092,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 17:45:00,0.1839,0.1839,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 18:00:00,0.3036,0.3036,1,50,HIGH,baseline_drop+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 18:00:00,0.3036,0.1518,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 18:15:00,0.4229,0.4229,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 18:15:00,0.4229,0.2114,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 18:30:00,0.3996,0.3996,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 18:30:00,0.3996,0.1998,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 18:45:00,0.3937,0.3937,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 18:45:00,0.3937,0.1968,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 19:00:00,0.4647,0.2324,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 19:00:00,0.4647,0.4647,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 19:15:00,0.5351,0.2676,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 19:15:00,0.5351,0.5351,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 19:30:00,0.4146,0.4146,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 19:30:00,0.4146,0.2073,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 19:45:00,0.5403,0.5403,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 19:45:00,0.5403,0.2702,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 20:00:00,0.5112,0.5112,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 20:00:00,0.5112,0.2556,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 20:15:00,0.4572,0.4572,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 20:15:00,0.4572,0.2286,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 20:30:00,0.3705,0.1852,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 20:30:00,0.3705,0.3705,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 20:45:00,0.5476,0.5476,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 20:45:00,0.5476,0.2738,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 21:00:00,0.3852,0.3852,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 21:00:00,0.3852,0.1926,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 21:15:00,0.3258,0.3258,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 21:15:00,0.3258,0.1629,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 21:30:00,0.38,0.38,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 21:30:00,0.38,0.19,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 21:45:00,0.5263,0.5263,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 21:45:00,0.5263,0.2631,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 22:00:00,0.2901,0.2901,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 22:00:00,0.2901,0.1451,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 22:15:00,0.1586,0.0793,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 22:15:00,0.1586,0.1586,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 22:30:00,0.2583,0.2583,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 22:30:00,0.2583,0.1291,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 22:45:00,0.1883,0.1883,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 22:45:00,0.1883,0.0941,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 23:00:00,0.1286,0.1286,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 23:00:00,0.1286,0.0643,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 23:15:00,0.1168,0.1168,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 23:15:00,0.1168,0.0584,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 23:30:00,0.2412,0.1206,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 23:30:00,0.2412,0.2412,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 23:45:00,0.2972,0.2972,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 23:45:00,0.2972,0.1486,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 00:00:00,0.0977,0.0977,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-03-01 00:00:00,0.0977,0.0488,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 00:15:00,0.0311,0.0311,1,50,HIGH,baseline_drop+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-03-01 00:15:00,0.0311,0.0155,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 00:30:00,0.0256,0.0256,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-03-01 00:30:00,0.0256,0.0128,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 00:45:00,0.1162,0.0581,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 00:45:00,0.1162,0.1162,1,60,HIGH,baseline_spike+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-03-01 01:00:00,0.0424,0.0212,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 01:00:00,0.0424,0.0424,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-03-01 01:15:00,0.0274,0.0274,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-03-01 01:15:00,0.0274,0.0137,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 01:30:00,0.0829,0.0829,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-03-01 01:30:00,0.0829,0.0415,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 01:45:00,0.0784,0.0784,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-03-01 01:45:00,0.0784,0.0392,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-03-01 02:00:00,0.0477,0.0477,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-03-01 02:00:00,0.0477,0.0238,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
